place,lat,lon,source,note
the hall:--,39.7701985,-86.1529514,nominatim,
Port of London,51.5093935,0.0350079,nominatim,
Black-Sea,43.872824,33.9938077,nominatim,
Frenchmen,51.1717799,-58.4426909,nominatim,
Paris,48.8588897,2.320041,nominatim,
Kúkri,23.5117185,76.3661172,nominatim,
Bucharest,44.4361414,26.102684,nominatim,
the Great River,-34.0425,22.2313889,nominatim,
Galatz,45.4338215,28.0549395,nominatim,
Consul,52.4813269,-1.9054517,nominatim,
Hapgood,43.2263507,-72.9368997,nominatim,
St. Peter,48.01786,8.0358335,nominatim,
Borgo,46.0533463,11.4566004,nominatim,
Fundu,3.055329,31.442704,nominatim,
Rapids,43.0957985,-78.6545955,nominatim,
