place,lat,lon,chapter,count
Borgo Prund,47.2201539,24.7406598,1,1
China,35.000074,104.999927,1,1
Europe,51.0,10.0,1,1
France,46.603354,1.8883335,1,1
Germany,51.1638175,10.4478313,1,1
Moldavia,47.2879608,28.5670941,1,1
St. George’s Day,52.0459799,-0.7467318,1,1
Vienna,48.2083537,16.3725042,1,1
the Hotel Royale,0.3189383,32.5854411,1,1
London,51.5074456,-0.1277653,2,8
England,52.5310214,-1.2649062,2,5
Transylvania,46.0,25.0,2,2
Carfax,51.7519783,-1.2579335,2,1
Tokay,33.8736776,-106.7391847,2,1
china,35.000074,104.999927,2,1
London,51.5074456,-0.1277653,3,5
Magyar,47.1817585,19.5060937,3,2
Turkey,39.294076,35.2316631,3,2
Africa,11.5024338,17.7578122,3,1
Asia,51.2086975,89.2343748,3,1
Attila,37.7697714,-88.7711732,3,1
Bulgar,15.4454424,26.3768271,3,1
Dover,51.1251275,1.3134228,3,1
England,52.5310214,-1.2649062,3,1
Europe,51.0,10.0,3,1
Honfoglalas,46.1623381,18.3532511,3,1
Iceland,64.9841821,-18.1059013,3,1
Mina,42.130056,-79.688104,3,1
Newcastle,54.9738474,-1.6131572,3,1
Scythia,37.8219963,-86.9052698,3,1
Varna,43.2073873,27.9166653,3,1
Slovaks,49.6304791,25.1399331,4,4
Bistritz,47.1333,24.4833,4,1
Bukovina,49.2974402,16.7732698,4,1
England,52.5310214,-1.2649062,4,1
Hungary,47.1817585,19.5060937,4,1
London,51.5074456,-0.1277653,4,1
Slovak,46.1514172,14.9383436,4,1
Transylvania,46.0,25.0,4,1
ark,35.2048883,-92.4479108,4,1
the Borgo Pass,53.5549463,-1.4814004,4,1
Chatham Street,51.4923888,-0.0899107,5,1
Desdemona,32.270414,-98.5503301,5,1
Korea,36.638392,127.6961188,5,1
Marquesas,-9.7793255,-139.0067835,5,1
Mina,42.130056,-79.688104,5,1
Texas,31.2638905,-98.5456116,5,1
Titicaca,-15.7334907,-69.9357769,5,1
Transylvania,46.0,25.0,5,1
n’t,37.9456724,23.7139908,5,1
wasn’t,41.3106743,69.3268267,5,1
Greenland,77.6192349,-42.8125967,6,3
Abbey,50.7345503,-108.7579928,6,2
Leeds,53.7974185,-1.5437941,6,1
Nuremberg,49.453872,11.077298,6,1
York,53.9656579,-1.0743052,6,1
